game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,0,0,00:12:00,00:00:00,00:00:00,1,ORL,jump ball,,Joakim Noah,Glen Davis,,,,,,,Glen Davis,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Davis vs. Noah: Tip to Harris
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,0,0,00:11:45,00:00:15,00:00:15,2,ORL,miss,,,,,,,,,,Glen Davis,0,,,missed,,Jump Shot,17,-117,118,13.3,77.2,MISS Davis 17' Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,0,0,00:11:44,00:00:16,00:00:01,3,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound defensive,,,,,,Noah REBOUND (Off:0 Def:1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,2,0,00:11:32,00:00:28,00:00:12,4,CHI,shot,Carlos Boozer,,,,,,,,,Jimmy Butler,2,,,made,,Jump Shot,15,-2,146,25.2,19.6,Butler 15' Jump Shot (2 PTS) (Boozer 1 AST)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,2,3,00:11:18,00:00:42,00:00:14,5,ORL,shot,,,,,,,,,,Jameer Nelson,3,,,made,,Pullup Jump Shot,26,151,217,40.1,67.3,Nelson 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,3,00:11:03,00:00:57,00:00:15,6,CHI,shot,Mike Dunleavy,,,,,,,,,Carlos Boozer,2,,,made,,Hook Shot,7,-68,22,31.8,7.2,Boozer 7' Hook Shot (2 PTS) (Dunleavy 1 AST)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,3,00:10:46,00:01:14,00:00:17,7,ORL,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,26,-24,261,22.6,62.9,MISS Harris 26' 3PT Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,3,00:10:45,00:01:15,00:00:01,8,CHI,rebound,,,,,,,,,,Mike Dunleavy,,,,,,rebound defensive,,,,,,Dunleavy REBOUND (Off:0 Def:1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,3,00:10:27,00:01:33,00:00:18,9,CHI,miss,,,,,,,,,,Mike Dunleavy,0,,,missed,,Jump Shot,28,-11,276,26.1,32.6,MISS Dunleavy 28' 3PT Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,3,00:10:24,00:01:36,00:00:03,10,ORL,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound defensive,,,,,,Harkless REBOUND (Off:0 Def:1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,5,00:10:11,00:01:49,00:00:13,11,ORL,shot,Victor Oladipo,,,,,,,,,Glen Davis,2,,,made,,Jump Shot,19,84,172,33.4,71.8,Davis 19' Jump Shot (2 PTS) (Oladipo 1 AST)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,4,5,00:09:52,00:02:08,00:00:19,13,ORL,violation,,,,,,,,,,Maurice Harkless,,,,,,violation:defensive goaltending,,,,,,Harkless Violation:Defensive Goaltending
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:52,00:02:08,00:00:00,12,CHI,shot,Joakim Noah,,,,,,,,,Jimmy Butler,2,,,made,,Layup,2,-2,19,25.2,6.9,Butler 2' Layup (4 PTS) (Noah 1 AST)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:28,00:02:32,00:00:24,14,ORL,miss,,,,,,,,,,Jameer Nelson,0,,,missed,,Jump Shot,23,-228,28,2.2,86.2,MISS Nelson  3PT Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:27,00:02:33,00:00:01,15,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound defensive,,,,,,Noah REBOUND (Off:0 Def:2)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:18,00:02:42,00:00:09,16,CHI,miss,,,,Victor Oladipo,,,,,,Carlos Boozer,0,,,missed,,Layup,2,-13,12,26.3,6.2,"MISS Boozer 2' Layup, Oladipo BLOCK (1 BLK)"
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:16,00:02:44,00:00:02,17,ORL,rebound,,,,,,,,,,Victor Oladipo,,,,,,rebound defensive,,,,,,Oladipo REBOUND (Off:0 Def:1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:09:12,00:02:48,00:00:04,18,ORL,turnover,,,,,,,,,,Victor Oladipo,,,bad pass ,,,bad pass ,,,,,,Oladipo Bad Pass Turnover (P1.T1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:08:57,00:03:03,00:00:15,19,CHI,miss,,,,,,,,,,Kirk Hinrich,0,,,missed,,Jump Shot,14,0,142,25.0,19.2,MISS Hinrich 14' Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,5,00:08:56,00:03:04,00:00:01,20,ORL,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,7,00:08:50,00:03:10,00:00:06,21,ORL,shot,,,,,,,,,,Tobias Harris,2,,,made,,Jump Shot,16,-103,127,14.7,76.3,Harris 16' Jump Shot (2 PTS)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,7,00:08:32,00:03:28,00:00:18,22,CHI,miss,,,,,,,,,,Mike Dunleavy,0,,,missed,,Jump Shot,14,-41,138,29.1,18.8,MISS Dunleavy 14' Jump Shot
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,6,7,00:08:30,00:03:30,00:00:02,24,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound offensive,,,,,,Noah REBOUND (Off:1 Def:2)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,8,7,00:08:30,00:03:30,00:00:00,23,CHI,shot,,,,,,,,,,Joakim Noah,2,,,made,,Tip Shot,2,-2,17,25.2,6.7,Noah 2' Tip Shot (2 PTS)
"=""0021300566""",2013-2014 Regular Season,2014-01-15,Mike Dunleavy,Carlos Boozer,Joakim Noah,Jimmy Butler,Kirk Hinrich,Maurice Harkless,Tobias Harris,Glen Davis,Victor Oladipo,Jameer Nelson,1,8,7,00:08:22,00:03:38,00:00:08,25,ORL,turnover,,,,,,,,,,Victor Oladipo,,,lost ball ,,Carlos Boozer,lost ball ,,,,,,"Boozer STEAL (1 STL), Oladipo Lost Ball Turnover (P2.T2)"
