game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,SAC,jump ball,,Jason Thompson,Nikola Pekovic,,,,,,,Nikola Pekovic,,Isaiah Thomas,,,,jump ball,,,,,,Jump Ball Pekovic vs. Thompson: Tip to Thomas
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:11:46,00:00:14,00:00:14,2,SAC,turnover,,,,,,,,,,Marcus Thornton,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Thornton Bad Pass Turnover (P1.T1), Rubio STEAL (1 STL)"
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:11:41,00:00:19,00:00:05,3,MIN,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Driving Layup,2,12,9,26.2,88.1,MISS Rubio 2' Driving Layup
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:11:40,00:00:20,00:00:01,4,SAC,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:11:24,00:00:36,00:00:16,6,SAC,shot,,,,,,,,,,Isaiah Thomas,2,,,made,,Running Jump Shot,13,1,127,24.9,17.7,Thomas 13' Running Jump Shot (2 PTS)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:11:12,00:00:48,00:00:12,7,MIN,turnover,,,,,,,,,,Ricky Rubio,,,bad pass ,,,bad pass ,,,,,,Rubio Bad Pass Turnover (P1.T1)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:10:55,00:01:05,00:00:17,8,MIN,foul,,,,,,,,Isaiah Thomas,,Ricky Rubio,,,p.foul,,,p.foul,,,,,,Rubio P.FOUL (P1.T1)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:10:45,00:01:15,00:00:10,9,SAC,miss,,,,,,,,,,Isaiah Thomas,0,,,missed,,Jump Shot,25,-98,233,34.8,28.3,MISS Thomas 25' 3PT Jump Shot
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:10:44,00:01:16,00:00:01,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,3,00:10:31,00:01:29,00:00:13,11,MIN,shot,Kevin Martin,,,,,,,,,Kevin Love,3,,,made,,Jump Shot,25,136,205,38.6,68.5,Love 25' 3PT Jump Shot (3 PTS) (Martin 1 AST)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,5,3,00:10:16,00:01:44,00:00:15,12,SAC,shot,,,,,,,,,,Rudy Gay,3,,,made,,Jump Shot,25,-4,246,25.4,29.6,Gay 25' 3PT Jump Shot (3 PTS)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,5,6,00:09:57,00:02:03,00:00:19,13,MIN,shot,Kevin Love,,,,,,,,,Ricky Rubio,3,,,made,,Jump Shot,23,-231,30,1.9,86.0,Rubio  3PT Jump Shot (3 PTS) (Love 1 AST)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,7,6,00:09:40,00:02:20,00:00:17,14,SAC,shot,Rudy Gay,,,,,,,,,Jason Thompson,2,,,made,,Jump Hook Shot,8,0,77,25.0,12.7,Thompson 8' Jump Hook Shot (2 PTS) (Gay 1 AST)
"=""0021300571""",2013-2014 Regular Season,2014-01-15,Rudy Gay,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Isaiah Thomas,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,7,8,00:09:29,00:02:31,00:00:11,15,MIN,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Driving Layup,1,1,-8,25.1,89.8,Rubio 1' Driving Layup (5 PTS)
