game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Derrick Favors,Andre Drummond,,,,,,,Andre Drummond,,Greg Monroe,,,,jump ball,,,,,,Jump Ball Drummond vs. Favors: Tip to Monroe
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:11:41,00:00:19,00:00:19,3,DET,miss,,,,,,,,,,Josh Smith,0,,,missed,,Layup,3,-32,11,21.8,87.9,MISS Smith 3' Layup
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:11:40,00:00:20,00:00:01,2,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:11:24,00:00:36,00:00:16,4,UTA,miss,,,,Andre Drummond,,,,,,Richard Jefferson,0,,,missed,,Layup,2,3,19,24.7,6.9,"MISS Jefferson 2' Layup, Drummond BLOCK (1 BLK)"
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,0,0,00:11:24,00:00:36,00:00:00,5,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,2,0,00:11:16,00:00:44,00:00:08,6,UTA,shot,Trey Burke,,,,,,,,,Derrick Favors,2,,,made,,Dunk,1,-4,7,25.4,5.7,Favors 1' Dunk (2 PTS) (Burke 1 AST)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,2,2,00:10:58,00:01:02,00:00:18,7,DET,shot,Kentavious Caldwell-Pope,,,,,,,,,Greg Monroe,2,,,made,,Jump Shot,15,-120,83,13.0,80.7,Monroe 15' Jump Shot (2 PTS) (Caldwell-Pope 1 AST)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,2,00:10:30,00:01:30,00:00:28,8,UTA,shot,Alec Burks,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,22,222,20,2.8,7.0,Williams  3PT Jump Shot (3 PTS) (Burks 1 AST)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,2,00:10:18,00:01:42,00:00:12,9,DET,turnover,,,,,,,,,,Andre Drummond,,,offensive goaltending,,,offensive goaltending,,,,,,Drummond Offensive Goaltending Turnover (P1.T1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,2,00:10:04,00:01:56,00:00:14,10,UTA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,24,132,206,11.8,25.6,MISS Williams 24' 3PT Jump Shot
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,2,00:10:02,00:01:58,00:00:02,11,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:56,00:02:04,00:00:06,12,DET,shot,,,,,,,,,,Brandon Jennings,2,,,made,,Jump Shot,13,-8,134,24.2,75.6,Jennings 13' Jump Shot (2 PTS)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:41,00:02:19,00:00:15,13,UTA,miss,,,,,,,,,,Richard Jefferson,0,,,missed,,Jump Shot,25,64,246,18.6,29.6,MISS Jefferson 25' 3PT Jump Shot
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:39,00:02:21,00:00:02,14,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:2)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:27,00:02:33,00:00:12,15,DET,miss,,,,,,,,,,Greg Monroe,0,,,missed,,Jump Shot,16,127,96,37.7,79.4,MISS Monroe 16' Jump Shot
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:25,00:02:35,00:00:02,16,UTA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,4,00:09:09,00:02:51,00:00:16,17,UTA,turnover,,,,,,,,,,Richard Jefferson,,,traveling ,,,traveling ,,,,,,Jefferson Traveling Turnover (P1.T1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:55,00:03:05,00:00:14,18,DET,shot,Greg Monroe,,,,,,,,,Josh Smith,2,,,made,,Hook Shot,8,-4,77,24.6,81.3,Smith 8' Hook Shot (2 PTS) (Monroe 1 AST)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:44,00:03:16,00:00:11,19,UTA,turnover,,,,,,,,,,Trey Burke,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Burke Out of Bounds Lost Ball Turnover (P1.T2)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:34,00:03:26,00:00:10,20,DET,miss,,,,,,,,,,Greg Monroe,0,,,missed,,Hook Shot,6,-15,60,23.5,83.0,MISS Monroe 6' Hook Shot
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:33,00:03:27,00:00:01,21,UTA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:2)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:26,00:03:34,00:00:07,22,UTA,foul,,,,,,,,Kentavious Caldwell-Pope,,Alec Burks,,,off.foul,,,off.foul,,,,,,Burks OFF.Foul (P1)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:26,00:03:34,00:00:00,23,UTA,turnover,,,,,,,,,,Alec Burks,,,foul turnover,,,foul turnover,,,,,,Burks Foul Turnover (P1.T3)
"=""0021300587""",2013-2014 Regular Season,2014-01-17,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,1,5,6,00:08:16,00:03:44,00:00:10,24,DET,miss,,,,,,,,,,Brandon Jennings,0,,,missed,,Jump Shot,15,70,135,32.0,75.5,MISS Jennings 15' Jump Shot
