game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Robin Lopez,Tim Duncan,,,,,,,Tim Duncan,,Tony Parker,,,,jump ball,,,,,,Jump Ball Duncan vs. Lopez: Tip to Parker
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,2,00:11:39,00:00:21,00:00:21,2,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,Jump Shot,16,-139,77,11.1,81.3,Duncan 16' Jump Shot (2 PTS)
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,2,00:11:19,00:00:41,00:00:20,3,POR,turnover,,,,,,,,,,Wesley Matthews,,,bad pass ,,Marco Belinelli,bad pass ,,,,,,"Matthews Bad Pass Turnover (P1.T1), Belinelli STEAL (1 STL)"
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,2,00:11:03,00:00:57,00:00:16,4,SAS,miss,,,,Robin Lopez,,,,,,Tim Duncan,0,,,missed,,Layup,2,-19,7,23.1,88.3,"Lopez BLOCK (1 BLK), MISS Duncan 2' Layup"
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,0,2,00:11:01,00:00:59,00:00:02,5,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,2,2,00:10:50,00:01:10,00:00:11,6,POR,shot,Damian Lillard,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,21,-16,206,26.6,25.6,Aldridge 21' Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,2,4,00:10:34,00:01:26,00:00:16,7,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,Jump Shot,17,-160,56,9.0,83.4,Parker 17' Jump Shot (2 PTS)
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,4,4,00:10:21,00:01:39,00:00:13,8,POR,shot,Nicolas Batum,,,,,,,,,Robin Lopez,2,,,made,,Layup,1,-10,9,26.0,5.9,Lopez 1' Layup (2 PTS) (Batum 1 AST)
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,4,4,00:10:09,00:01:51,00:00:12,9,SAS,miss,,,,LaMarcus Aldridge,,,,,,Tony Parker,0,,,missed,,Layup,1,6,-2,25.6,89.2,"Aldridge BLOCK (1 BLK), MISS Parker 1' Layup"
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,4,4,00:10:09,00:01:51,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SPURS Rebound
"=""0021300589""",2013-2014 Regular Season,2014-01-17,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Kawhi Leonard,Tim Duncan,Boris Diaw,Marco Belinelli,Tony Parker,1,4,6,00:10:08,00:01:52,00:00:01,11,SAS,shot,Kawhi Leonard,,,,,,,,,Marco Belinelli,2,,,made,,Jump Shot,15,151,12,40.1,87.8,Belinelli 15' Jump Shot (2 PTS) (Leonard 1 AST)
