game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,UTA,jump ball,,Derrick Favors,Nikola Pekovic,,,,,,,Nikola Pekovic,,Trey Burke,,,,jump ball,,,,,,Jump Ball Pekovic vs. Favors: Tip to Burke
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:11:46,00:00:14,00:00:14,2,UTA,shot,Alec Burks,,,,,,,,,Richard Jefferson,2,,,made,,Jump Shot,19,91,172,15.9,22.2,Jefferson 19' Jump Shot (2 PTS) (Burks 1 AST)
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,0,00:11:28,00:00:32,00:00:18,3,UTA,foul,,,,,,,,Kevin Love,,Marvin Williams,,,s.foul,,,s.foul,,,,,,Williams S.FOUL (P1.T1)
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,1,00:11:28,00:00:32,00:00:00,4,MIN,free throw,,,,,,,1,,2,Kevin Love,1,,,made,,Free Throw 1 of 2,,,,,,Love Free Throw 1 of 2 (1 PTS)
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,2,00:11:28,00:00:32,00:00:00,6,MIN,free throw,,,,,,,2,,2,Kevin Love,1,,,made,,Free Throw 2 of 2,,,,,,Love Free Throw 2 of 2 (2 PTS)
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,2,00:11:05,00:00:55,00:00:23,8,UTA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Step Back Jump Shot,16,155,22,9.5,7.2,MISS Williams 16' Step Back Jump Shot
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,2,00:11:04,00:00:56,00:00:01,9,MIN,rebound,,,,,,,,,,Nikola Pekovic,,,,,,rebound defensive,,,,,,Pekovic REBOUND (Off:0 Def:1)
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,2,00:10:59,00:01:01,00:00:05,10,MIN,miss,,,,,,,,,,Kevin Martin,0,,,missed,,Jump Shot,24,-228,61,2.2,82.9,MISS Martin 24' 3PT Jump Shot
"=""0021300598""",2013-2014 Regular Season,2014-01-18,Richard Jefferson,Marvin Williams,Derrick Favors,Alec Burks,Trey Burke,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,1,2,2,00:10:56,00:01:04,00:00:03,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
