game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:12:00,00:00:00,00:00:00,1,HOU,jump ball,,Robin Lopez,Dwight Howard,,,,,,,Dwight Howard,,Donatas Motiejunas,,,,jump ball,,,,,,Jump Ball Howard vs. Lopez: Tip to Motiejunas
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,0,2,00:11:46,00:00:14,00:00:14,2,HOU,shot,,,,,,,,,,Donatas Motiejunas,2,,,made,,Turnaround Hook Shot,4,9,42,25.9,84.8,Motiejunas 4' Turnaround Hook Shot (2 PTS)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,2,2,00:11:28,00:00:32,00:00:18,3,POR,shot,Damian Lillard,,,,,,,,,Robin Lopez,2,,,made,,Driving Jump Shot,5,42,30,20.8,8.0,Lopez 5' Driving Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,2,2,00:11:28,00:00:32,00:00:00,4,HOU,foul,,,,,,,,Robin Lopez,,James Harden,,,s.foul,,,s.foul,,,,,,Harden S.FOUL (P1.T1)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,2,00:11:28,00:00:32,00:00:00,5,POR,free throw,,,,,,,1,,1,Robin Lopez,1,,,made,,Free Throw 1 of 1,,,,,,Lopez Free Throw 1 of 1 (3 PTS)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,4,00:11:19,00:00:41,00:00:09,7,HOU,shot,,,,,,,,,,Chandler Parsons,2,,,made,,Driving Layup,3,21,15,27.1,87.5,Parsons 3' Driving Layup (2 PTS)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,4,00:11:03,00:00:57,00:00:16,10,POR,turnover,,,,,,,,,,Nicolas Batum,,,bad pass ,,Patrick Beverley,bad pass ,,,,,,"Batum Bad Pass Turnover (P1.T1), Beverley STEAL (1 STL)"
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,6,00:10:56,00:01:04,00:00:07,11,HOU,shot,Chandler Parsons,,,,,,,,,Donatas Motiejunas,2,,,made,,Layup,2,-18,4,23.2,88.6,Motiejunas 2' Layup (4 PTS) (Parsons 1 AST)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,6,00:10:35,00:01:25,00:00:21,12,POR,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,21,-198,64,44.8,11.4,MISS Aldridge 21' Jump Shot
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,6,00:10:34,00:01:26,00:00:01,13,HOU,rebound,,,,,,,,,,Donatas Motiejunas,,,,,,rebound defensive,,,,,,Motiejunas REBOUND (Off:0 Def:1)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,9,00:10:25,00:01:35,00:00:09,14,HOU,shot,Donatas Motiejunas,,,,,,,,,James Harden,3,,,made,,Jump Shot,25,88,233,33.8,65.7,Harden 25' 3PT Jump Shot (3 PTS) (Motiejunas 1 AST)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,3,9,00:10:05,00:01:55,00:00:20,15,HOU,violation,,,,,,,,,,Dwight Howard,,,,,,violation:kicked ball,,,,,,Howard Violation:Kicked Ball
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,5,9,00:10:03,00:01:57,00:00:02,16,POR,shot,Nicolas Batum,,,,,,,,,Wesley Matthews,2,,,made,,Alley Oop Dunk,0,2,4,24.8,5.4,Matthews  Alley Oop Dunk (2 PTS) (Batum 1 AST)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,5,11,00:09:50,00:02:10,00:00:13,17,HOU,shot,,,,,,,,,,Chandler Parsons,2,,,made,,Jump Shot,16,127,91,37.7,79.9,Parsons 16' Jump Shot (4 PTS)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,7,11,00:09:38,00:02:22,00:00:12,18,POR,shot,,,,,,,,,,Damian Lillard,2,,,made,,Driving Layup,2,-15,11,26.5,6.1,Lillard 2' Driving Layup (2 PTS)
"=""0021300614""",2013-2014 Regular Season,2014-01-20,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,Chandler Parsons,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,1,7,13,00:09:23,00:02:37,00:00:15,19,HOU,shot,Chandler Parsons,,,,,,,,,Dwight Howard,2,,,made,,Driving Layup,2,-16,14,23.4,87.6,Howard 2' Driving Layup (2 PTS) (Parsons 2 AST)
