game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Andre Drummond,John Henson,,,,,,,John Henson,,Greg Monroe,,,,jump ball,,,,,,Jump Ball Henson vs. Drummond: Tip to Monroe
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:43,00:00:17,00:00:17,2,DET,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,6,26,52,22.4,10.2,MISS Caldwell-Pope 6' Jump Shot
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:42,00:00:18,00:00:01,3,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound defensive,,,,,,Henson REBOUND (Off:0 Def:1)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:11:38,00:00:22,00:00:04,4,MIL,shot,Brandon Knight,,,,,,,,,Ekpe Udoh,2,,,made,,Dunk,1,0,-13,25.0,90.3,Udoh 1' Dunk (2 PTS) (Knight 1 AST)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,2,2,00:11:25,00:00:35,00:00:13,5,DET,shot,,,,,,,,,,Brandon Jennings,2,,,made,,Jump Shot,15,114,99,13.6,14.9,Jennings 15' Jump Shot (2 PTS)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,2,4,00:11:01,00:00:59,00:00:24,6,MIL,shot,Brandon Knight,,,,,,,,,Ersan Ilyasova,2,,,made,,Jump Shot,15,-150,-17,10.0,90.7,Ilyasova 15' Jump Shot (2 PTS) (Knight 2 AST)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,2,4,00:10:49,00:01:11,00:00:12,7,DET,miss,,,,,,,,,,Josh Smith,0,,,missed,,Jump Shot,16,102,129,14.8,17.9,MISS Smith 16' Jump Shot
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,2,4,00:10:48,00:01:12,00:00:01,8,DET,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound offensive,,,,,,Caldwell-Pope REBOUND (Off:1 Def:0)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,4,4,00:10:35,00:01:25,00:00:13,9,DET,shot,Kentavious Caldwell-Pope,,,,,,,,,Andre Drummond,2,,,made,,Layup,1,-10,-3,26.0,4.7,Drummond 1' Layup (2 PTS) (Caldwell-Pope 1 AST)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,4,4,00:10:17,00:01:43,00:00:18,10,MIL,miss,,,,Andre Drummond,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,6,-54,30,19.6,86.0,"Drummond BLOCK (1 BLK), MISS Ilyasova 6' Jump Shot"
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,4,4,00:10:14,00:01:46,00:00:03,11,MIL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound offensive,,,,,,Ilyasova REBOUND (Off:1 Def:0)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,4,4,00:10:12,00:01:48,00:00:02,12,MIL,turnover,,,,,,,,,,Ersan Ilyasova,,,bad pass ,,,bad pass ,,,,,,Ilyasova Bad Pass Turnover (P1.T1)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:10:02,00:01:58,00:00:10,13,DET,shot,Josh Smith,,,,,,,,,Greg Monroe,2,,,made,,Hook Shot,3,0,31,25.0,8.1,Monroe 3' Hook Shot (2 PTS) (Smith 1 AST)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:09:45,00:02:15,00:00:17,14,MIL,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,20,62,194,31.2,69.6,MISS Ilyasova 20' Jump Shot
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:09:43,00:02:17,00:00:02,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:09:38,00:02:22,00:00:05,16,DET,miss,,,,,,,,,,Brandon Jennings,0,,,missed,,Jump Shot,19,-70,176,32.0,22.6,MISS Jennings 19' Jump Shot
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:09:37,00:02:23,00:00:01,17,MIL,rebound,,,,,,,,,,Ekpe Udoh,,,,,,rebound defensive,,,,,,Udoh REBOUND (Off:0 Def:1)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,6,4,00:09:30,00:02:30,00:00:07,18,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,bad pass ,,,bad pass ,,,,,,Antetokounmpo Bad Pass Turnover (P1.T2)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,8,4,00:09:19,00:02:41,00:00:11,19,DET,shot,,,,,,,,,,Greg Monroe,2,,,made,,Running Hook Shot,6,-62,11,31.2,6.1,Monroe 6' Running Hook Shot (4 PTS)
"=""0021300628""",2013-2014 Regular Season,2014-01-22,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Ersan Ilyasova,John Henson,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,8,4,00:08:58,00:03:02,00:00:21,20,MIL,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,7,-57,33,19.3,85.7,MISS Ilyasova 7' Jump Shot
