game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:12:00,00:00:00,00:00:00,39,,violation,,,,,,,,,,,,,,,,violation: delay of game violation,,,,,,Kings Violation: Delay of game Violation
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:12:00,00:00:00,00:00:00,1,UTA,jump ball,,Jason Thompson,Derrick Favors,,,,,,,Derrick Favors,,Trey Burke,,,,jump ball,,,,,,Jump Ball Favors vs. Thompson: Tip to Burke
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:41,00:00:19,00:00:19,2,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,12,-116,-3,13.4,89.3,MISS Favors 12' Jump Shot
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:40,00:00:20,00:00:01,3,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:20,00:00:40,00:00:20,4,SAC,miss,,,,,,,,,,Jason Thompson,0,,,missed,,Jump Shot,9,-75,47,32.5,9.7,MISS Thompson 9' Jump Shot
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:18,00:00:42,00:00:02,5,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:1)
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:17,00:00:43,00:00:01,6,UTA,foul,,,,,,,,Jason Thompson,,Richard Jefferson,,,p.foul,,,p.foul,,,,,,Jefferson P.FOUL (P1.T1)
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:09,00:00:51,00:00:08,7,SAC,miss,,,,,,,,,,Isaiah Thomas,0,,,missed,,Jump Shot,13,125,48,12.5,9.8,MISS Thomas 13' Jump Shot
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:06,00:00:54,00:00:03,8,SAC,rebound,,,,,,,,,,Travis Outlaw,,,,,,rebound offensive,,,,,,Outlaw REBOUND (Off:1 Def:0)
"=""0021300667""",2013-2014 Regular Season,2014-01-27,Derrick Williams,Travis Outlaw,Jason Thompson,Marcus Thornton,Isaiah Thomas,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:10:53,00:01:07,00:00:13,9,SAC,miss,,,,,,,,,,Travis Outlaw,0,,,missed,,Jump Shot,25,179,179,7.1,22.9,MISS Outlaw 25' 3PT Jump Shot
