game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,1,WAS,jump ball,,Marcin Gortat,Andrew Bogut,,,,,,,Andrew Bogut,,Nene,,,,jump ball,,,,,,Jump Ball Bogut vs. Gortat: Tip to Nene
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:52,00:00:08,00:00:08,2,WAS,turnover,,,,,,,,,,John Wall,,,lost ball ,,Stephen Curry,lost ball ,,,,,,"Wall Lost Ball Turnover (P1.T1), Curry STEAL (1 STL)"
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:49,00:00:11,00:00:03,3,GSW,miss,,,,John Wall,,,,,,Stephen Curry,0,,,missed,,Layup,2,-11,14,23.9,87.6,"Wall BLOCK (1 BLK), MISS Curry 2' Layup"
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:43,00:00:17,00:00:06,4,WAS,rebound,,,,,,,,,,John Wall,,,,,,rebound defensive,,,,,,Wall REBOUND (Off:0 Def:1)
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:39,00:00:21,00:00:04,5,WAS,miss,,,,,,,,,,John Wall,0,,,missed,,Jump Shot,19,-92,162,34.2,21.2,MISS Wall 19' Jump Shot
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:38,00:00:22,00:00:01,6,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound defensive,,,,,,Bogut REBOUND (Off:0 Def:1)
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:24,00:00:36,00:00:14,7,GSW,miss,,,,,,,,,,David Lee,0,,,missed,,Turnaround Bank Shot,10,-97,22,15.3,86.8,MISS Lee 10' Turnaround Bank Shot
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:23,00:00:37,00:00:01,8,WAS,rebound,,,,,,,,,,Trevor Ariza,,,,,,rebound defensive,,,,,,Ariza REBOUND (Off:0 Def:1)
"=""0021300673""",2013-2014 Regular Season,2014-01-28,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:16,00:00:44,00:00:07,9,GSW,foul,,,,,,,,Marcin Gortat,,Stephen Curry,,,s.foul,,,s.foul,,,,,,Curry S.FOUL (P1.T1)
