game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,1,CHI,jump ball,,Joakim Noah,Robert Sacre,,,,,,,Robert Sacre,,Kirk Hinrich,,,,jump ball,,,,,,Jump Ball Sacre vs. Noah: Tip to Hinrich
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:35,00:00:25,00:00:25,2,CHI,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Jump Shot,19,165,94,8.5,14.4,MISS Gibson 19' Jump Shot
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:33,00:00:27,00:00:02,3,LAL,rebound,,,,,,,,,,Steve Blake,,,,,,rebound defensive,,,,,,Blake REBOUND (Off:0 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:17,00:00:43,00:00:16,4,LAL,miss,,,,,,,,,,Ryan Kelly,0,,,missed,,Jump Shot,28,179,214,42.9,67.6,MISS Kelly 28' 3PT Jump Shot
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:15,00:00:45,00:00:02,5,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,rebound defensive,,,,,,Hinrich REBOUND (Off:0 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:01,00:00:59,00:00:14,6,CHI,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Jump Shot,19,-123,143,37.3,19.3,MISS Butler 19' Jump Shot
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:11:00,00:01:00,00:00:01,7,LAL,rebound,,,,,,,,,,Ryan Kelly,,,,,,rebound defensive,,,,,,Kelly REBOUND (Off:0 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:39,00:01:21,00:00:21,8,LAL,miss,,,,,,,,,,Steve Blake,0,,,missed,,Fadeaway Jumper,9,84,42,33.4,84.8,MISS Blake 9' Fadeaway Jumper
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:36,00:01:24,00:00:03,9,CHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:16,00:01:44,00:00:20,10,CHI,miss,,,,Ryan Kelly,,,,,,Kirk Hinrich,0,,,missed,,Jump Shot,25,247,11,0.3,6.1,"MISS Hinrich 25' 3PT Jump Shot, Kelly BLOCK (1 BLK)"
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:13,00:01:47,00:00:03,12,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,rebound offensive,,,,,,Hinrich REBOUND (Off:1 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:13,00:01:47,00:00:00,11,CHI,miss,,,,,,,,,,Kirk Hinrich,0,,,missed,,Layup,2,12,11,23.8,6.1,MISS Hinrich 2' Layup
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:11,00:01:49,00:00:02,13,LAL,rebound,,,,,,,,,,Steve Nash,,,,,,rebound defensive,,,,,,Nash REBOUND (Off:0 Def:1)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:04,00:01:56,00:00:07,14,LAL,miss,,,,,,,,,,Ryan Kelly,0,,,missed,,Floating Jump Shot,4,12,41,26.2,84.9,MISS Kelly 4' Floating Jump Shot
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,0,0,00:10:04,00:01:56,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Bulls Rebound
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,2,0,00:09:45,00:02:15,00:00:19,16,CHI,shot,,,,,,,,,,Taj Gibson,2,,,made,,Hook Shot,3,1,30,24.9,8.0,Gibson 3' Hook Shot (2 PTS)
"=""0021300757""",2013-2014 Regular Season,2014-02-09,Mike Dunleavy,Taj Gibson,Joakim Noah,Jimmy Butler,Kirk Hinrich,Wesley Johnson,Ryan Kelly,Robert Sacre,Steve Blake,Steve Nash,1,2,0,00:09:35,00:02:25,00:00:10,17,LAL,miss,,,,,,,,,,Ryan Kelly,0,,,missed,,Jump Shot,15,114,102,36.4,78.8,MISS Kelly 15' Jump Shot
