game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Marc Gasol,Tristan Thompson,,,,,,,Tristan Thompson,,Zach Randolph,,,,jump ball,,,,,,Jump Ball Thompson vs. Gasol: Tip to Randolph
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,0,00:11:43,00:00:17,00:00:17,2,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,Jump Shot,11,113,9,13.7,5.9,Randolph 11' Jump Shot (2 PTS)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,0,00:11:22,00:00:38,00:00:21,3,CLE,miss,,,,,,,,,,Luol Deng,0,,,missed,,Jump Shot,17,53,159,30.3,73.1,MISS Deng 17' Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,0,00:11:21,00:00:39,00:00:01,4,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Grizzlies Rebound
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,0,00:11:01,00:00:59,00:00:20,5,MEM,miss,,,,Tristan Thompson,,,,,,Zach Randolph,0,,,missed,,Jump Shot,12,114,28,13.6,7.8,"MISS Randolph 12' Jump Shot, Thompson BLOCK (1 BLK)"
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,0,00:11:00,00:01:00,00:00:01,6,CLE,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,2,2,00:10:50,00:01:10,00:00:10,7,CLE,shot,Tristan Thompson,,,,,,,,,Kyrie Irving,2,,,made,,Layup,0,0,-2,25.0,89.2,Irving  Layup (2 PTS) (Thompson 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:10:26,00:01:34,00:00:24,8,MEM,shot,Nick Calathes,,,,,,,,,Tayshaun Prince,2,,,made,,Jump Shot,20,201,9,4.9,5.9,Prince 20' Jump Shot (2 PTS) (Calathes 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:10:09,00:01:51,00:00:17,9,CLE,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Jump Shot,26,136,220,38.6,67.0,MISS Jack 26' 3PT Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:10:08,00:01:52,00:00:01,10,MEM,rebound,,,,,,,,,,Nick Calathes,,,,,,rebound defensive,,,,,,Calathes REBOUND (Off:0 Def:1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:09:59,00:02:01,00:00:09,11,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,16,-30,160,28.0,21.0,MISS Gasol 16' Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:09:58,00:02:02,00:00:01,12,CLE,rebound,,,,,,,,,,Luol Deng,,,,,,rebound defensive,,,,,,Deng REBOUND (Off:0 Def:1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:09:43,00:02:17,00:00:15,13,CLE,miss,,,,,,,,,,Luol Deng,0,,,missed,,Jump Shot,25,-180,176,7.0,71.4,MISS Deng 25' 3PT Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,2,00:09:42,00:02:18,00:00:01,14,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,rebound offensive,,,,,,Varejao REBOUND (Off:1 Def:0)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,4,4,00:09:37,00:02:23,00:00:05,15,CLE,shot,Anderson Varejao,,,,,,,,,Luol Deng,2,,,made,,Driving Layup,0,4,0,25.4,89.0,Deng  Driving Layup (2 PTS) (Varejao 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,6,4,00:09:23,00:02:37,00:00:14,16,MEM,shot,Zach Randolph,,,,,,,,,Marc Gasol,2,,,made,,Turnaround Bank Hook Shot,4,40,11,21.0,6.1,Gasol 4' Turnaround Bank Hook Shot (2 PTS) (Randolph 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,6,4,00:09:09,00:02:51,00:00:14,17,CLE,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,21,34,205,28.4,68.5,MISS Irving 21' Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,6,4,00:09:08,00:02:52,00:00:01,18,MEM,rebound,,,,,,,,,,Tayshaun Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,8,4,00:08:57,00:03:03,00:00:11,21,MEM,shot,Marc Gasol,,,,,,,,,Nick Calathes,2,,,made,,Driving Layup,1,-5,6,25.5,5.6,Calathes 1' Driving Layup (2 PTS) (Gasol 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,8,4,00:08:57,00:03:03,00:00:00,22,CLE,foul,,,,,,,,Nick Calathes,,Kyrie Irving,,,s.foul,,,s.foul,,,,,,Irving S.FOUL (P1.T1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,8,4,00:08:57,00:03:03,00:00:00,23,MEM,free throw,,,,,,,1,,1,Nick Calathes,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Calathes Free Throw 1 of 1
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,8,4,00:08:56,00:03:04,00:00:01,25,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,rebound defensive,,,,,,Varejao REBOUND (Off:1 Def:1)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,8,6,00:08:37,00:03:23,00:00:19,26,CLE,shot,Kyrie Irving,,,,,,,,,Tristan Thompson,2,,,made,,Driving Reverse Layup,1,-2,11,24.8,87.9,Thompson 1' Driving Reverse Layup (2 PTS) (Irving 1 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,10,6,00:08:09,00:03:51,00:00:28,27,MEM,shot,Nick Calathes,,,,,,,,,Zach Randolph,2,,,made,,Layup,0,-4,0,25.4,5.0,Randolph  Layup (4 PTS) (Calathes 2 AST)
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,10,6,00:07:51,00:04:09,00:00:18,28,CLE,miss,,,,,,,,,,Anderson Varejao,0,,,missed,,Jump Shot,19,0,186,25.0,70.4,MISS Varejao 19' Jump Shot
"=""0021300760""",2013-2014 Regular Season,2014-02-09,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Nick Calathes,Luol Deng,Tristan Thompson,Anderson Varejao,Kyrie Irving,Jarrett Jack,1,10,6,00:07:51,00:04:09,00:00:00,29,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CAVALIERS Rebound
