game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,1,UTA,jump ball,,Derrick Favors,Chris Kaman,,,,,,,Chris Kaman,,Trey Burke,,,,jump ball,,,,,,Jump Ball Kaman vs. Favors: Tip to Burke
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,0,0,00:11:36,00:00:24,00:00:24,2,UTA,miss,,,,Shawne Williams,,,,,,Marvin Williams,0,,,missed,,Jump Shot,8,-76,12,32.6,6.2,"MISS Williams 8' Jump Shot, Shaw. Williams BLOCK (1 BLK)"
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,0,0,00:11:33,00:00:27,00:00:03,4,UTA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:11:33,00:00:27,00:00:00,3,UTA,shot,,,,,,,,,,Marvin Williams,2,,,made,,Layup,0,0,-2,25.0,4.8,Williams  Layup (2 PTS)
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:11:21,00:00:39,00:00:12,5,LAL,miss,,,,Derrick Favors,,,,,,Chris Kaman,0,,,missed,,Jump Shot,6,21,58,27.1,83.2,"Favors BLOCK (1 BLK), MISS Kaman 6' Jump Shot"
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:11:19,00:00:41,00:00:02,6,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:11:06,00:00:54,00:00:13,7,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,8,28,77,22.2,12.7,MISS Favors 8' Jump Shot
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:11:05,00:00:55,00:00:01,8,LAL,rebound,,,,,,,,,,Wesley Johnson,,,,,,rebound defensive,,,,,,W. Johnson REBOUND (Off:0 Def:1)
"=""0021300776""",2013-2014 Regular Season,2014-02-11,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Wesley Johnson,Shawne Williams,Chris Kaman,Steve Blake,Steve Nash,1,2,0,00:10:57,00:01:03,00:00:08,9,LAL,miss,,,,,,,,,,Chris Kaman,0,,,missed,,Jump Shot,18,31,173,28.1,71.7,MISS Kaman 18' Jump Shot
