game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Tim Duncan,Miles Plumlee,,,,,,,Miles Plumlee,,Cory Joseph,,,,jump ball,,,,,,Jump Ball Plumlee vs. Duncan: Tip to Joseph
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,0,0,00:11:45,00:00:15,00:00:15,2,SAS,miss,,,,,,,,,,Marco Belinelli,0,,,missed,,Jump Shot,25,116,216,13.4,26.6,MISS Belinelli 25' 3PT Jump Shot
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,0,0,00:11:43,00:00:17,00:00:02,3,PHX,rebound,,,,,,,,,,Channing Frye,,,,,,rebound defensive,,,,,,Frye REBOUND (Off:0 Def:1)
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,0,2,00:11:25,00:00:35,00:00:18,4,PHX,shot,,,,,,,,,,Channing Frye,2,,,made,,Jump Shot,14,-141,6,10.9,88.4,Frye 14' Jump Shot (2 PTS)
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,2,00:11:15,00:00:45,00:00:10,5,SAS,shot,,,,,,,,,,Boris Diaw,2,,,made,,Running Hook Shot,8,-4,75,25.4,12.5,Diaw 8' Running Hook Shot (2 PTS)
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:55,00:01:05,00:00:20,6,PHX,shot,,,,,,,,,,PJ Tucker,2,,,made,,Running Jump Shot,9,84,28,33.4,86.2,Tucker 9' Running Jump Shot (2 PTS)
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:31,00:01:29,00:00:24,7,SAS,turnover,,,,,,,,,,Boris Diaw,,,bad pass ,,Channing Frye,bad pass ,,,,,,"Diaw Bad Pass Turnover (P1.T1), Frye STEAL (1 STL)"
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:25,00:01:35,00:00:06,8,PHX,miss,,,,,,,,,,Gerald Green,0,,,missed,,Jump Shot,26,-212,142,3.8,74.8,MISS Green 26' 3PT Jump Shot
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:22,00:01:38,00:00:03,9,SAS,rebound,,,,,,,,,,Boris Diaw,,,,,,rebound defensive,,,,,,Diaw REBOUND (Off:0 Def:1)
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:11,00:01:49,00:00:11,10,SAS,miss,,,,,,,,,,Marco Belinelli,0,,,missed,,Jump Shot,21,-139,151,38.9,20.1,MISS Belinelli 21' Jump Shot
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:10:10,00:01:50,00:00:01,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SUNS Rebound
"=""0021300822""",2013-2014 Regular Season,2014-02-21,Danny Green,Tim Duncan,Boris Diaw,Marco Belinelli,Cory Joseph,PJ Tucker,Channing Frye,Miles Plumlee,Gerald Green,Goran Dragic,1,2,4,00:09:58,00:02:02,00:00:12,12,PHX,turnover,,,,,,,,,,Goran Dragic,,,lost ball ,,Marco Belinelli,lost ball ,,,,,,"Belinelli STEAL (1 STL), Dragic Lost Ball Turnover (P1.T1)"
