game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,0,0,00:12:00,00:00:00,00:00:00,1,NYK,jump ball,,Samuel Dalembert,Tyson Chandler,,,,,,,Tyson Chandler,,Raymond Felton,,,,jump ball,,,,,,Jump Ball Chandler vs. Dalembert: Tip to Felton
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,0,0,00:11:43,00:00:17,00:00:17,2,NYK,turnover,,,,,,,,,,Carmelo Anthony,,,bad pass ,,,bad pass ,,,,,,Anthony Bad Pass Turnover (P1.T1)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,2,0,00:11:21,00:00:39,00:00:22,3,DAL,shot,Jose Calderon,,,,,,,,,Dirk Nowitzki,2,,,made,,Jump Shot,19,95,162,15.5,21.2,Nowitzki 19' Jump Shot (2 PTS) (Calderon 1 AST)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,2,0,00:10:58,00:01:02,00:00:23,4,NYK,turnover,,,,,,,,,,Carmelo Anthony,,,bad pass ,,Dirk Nowitzki,bad pass ,,,,,,"Nowitzki STEAL (1 STL), Anthony Bad Pass Turnover (P2.T2)"
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,4,0,00:10:55,00:01:05,00:00:03,5,DAL,shot,Jose Calderon,,,,,,,,,Shawn Marion,2,,,made,,Dunk,0,4,0,24.6,5.0,Marion  Dunk (2 PTS) (Calderon 2 AST)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,4,3,00:10:44,00:01:16,00:00:11,6,NYK,shot,,,,,,,,,,Raymond Felton,3,,,made,,Pullup Jump Shot,25,152,203,40.2,68.7,Felton 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,4,3,00:10:38,00:01:22,00:00:06,7,DAL,turnover,,,,,,,,,,Shawn Marion,,,bad pass ,,Raymond Felton,bad pass ,,,,,,"Marion Bad Pass Turnover (P1.T1), Felton STEAL (1 STL)"
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,4,5,00:10:34,00:01:26,00:00:04,8,NYK,shot,Raymond Felton,,,,,,,,,Carmelo Anthony,2,,,made,,Jump Shot,21,-128,162,12.2,72.8,Anthony 21' Jump Shot (2 PTS) (Felton 1 AST)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,5,00:10:21,00:01:39,00:00:13,9,DAL,shot,,,,,,,,,,Monta Ellis,2,,,made,,Driving Dunk,0,4,1,24.6,5.1,Ellis  Driving Dunk (2 PTS)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,5,00:10:09,00:01:51,00:00:12,10,NYK,turnover,,,,,,,,,,Pablo Prigioni,,,bad pass ,,,bad pass ,,,,,,Prigioni Bad Pass Turnover (P1.T3)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,5,00:09:59,00:02:01,00:00:10,11,DAL,miss,,,,,,,,,,Shawn Marion,0,,,missed,,Jump Shot,24,-207,131,45.7,18.1,MISS Marion 24' 3PT Jump Shot
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,5,00:09:57,00:02:03,00:00:02,12,NYK,rebound,,,,,,,,,,Pablo Prigioni,,,,,,rebound defensive,,,,,,Prigioni REBOUND (Off:0 Def:1)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:52,00:02:08,00:00:05,13,NYK,shot,Pablo Prigioni,,,,,,,,,Tyson Chandler,2,,,made,,Alley Oop Dunk,1,2,11,25.2,87.9,Chandler 1' Alley Oop Dunk (2 PTS) (Prigioni 1 AST)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:42,00:02:18,00:00:10,14,DAL,foul,,,,,,,,Raymond Felton,,Samuel Dalembert,,,off.foul,,,off.foul,,,,,,Dalembert OFF.Foul (P1)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:42,00:02:18,00:00:00,15,DAL,turnover,,,,,,,,,,Samuel Dalembert,,,foul turnover,,,foul turnover,,,,,,Dalembert Foul Turnover (P1.T2)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:28,00:02:32,00:00:14,16,NYK,foul,,,,,,,,Jose Calderon,,Amar'e Stoudemire,,,off.foul,,,off.foul,,,,,,Stoudemire OFF.Foul (P1)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:28,00:02:32,00:00:00,17,NYK,turnover,,,,,,,,,,Amar'e Stoudemire,,,foul turnover,,,foul turnover,,,,,,Stoudemire Foul Turnover (P1.T4)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:16,00:02:44,00:00:12,18,DAL,turnover,,,,,,,,,,Monta Ellis,,,traveling ,,,traveling ,,,,,,Ellis Traveling Turnover (P1.T3)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:02,00:02:58,00:00:14,19,NYK,miss,,,,,,,,,,Amar'e Stoudemire,0,,,missed,,Jump Shot,18,-177,19,7.3,87.1,MISS Stoudemire 18' Jump Shot
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,6,7,00:09:00,00:03:00,00:00:02,20,DAL,rebound,,,,,,,,,,Samuel Dalembert,,,,,,rebound defensive,,,,,,Dalembert REBOUND (Off:0 Def:1)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,8,7,00:08:49,00:03:11,00:00:11,21,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,Fadeaway Jumper,16,155,20,9.5,7.0,Nowitzki 16' Fadeaway Jumper (4 PTS)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,8,7,00:08:38,00:03:22,00:00:11,22,NYK,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Pullup Jump Shot,17,141,91,39.1,79.9,MISS Anthony 17' Pullup Jump Shot
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,8,7,00:08:36,00:03:24,00:00:02,24,NYK,rebound,,,,,,,,,,Amar'e Stoudemire,,,,,,rebound offensive,,,,,,Stoudemire REBOUND (Off:1 Def:0)
"=""0021300843""",2013-2014 Regular Season,2014-02-24,Shawn Marion,Dirk Nowitzki,Samuel Dalembert,Jose Calderon,Monta Ellis,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,Pablo Prigioni,1,8,7,00:08:36,00:03:24,00:00:00,23,NYK,miss,,,,,,,,,,Amar'e Stoudemire,0,,,missed,,Tip Shot,1,-2,11,24.8,87.9,MISS Stoudemire 1' Tip Shot
