game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,1,CLE,jump ball,,Derrick Favors,Spencer Hawes,,,,,,,Spencer Hawes,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Hawes vs. Favors: Tip to Irving
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:11:43,00:00:17,00:00:17,2,CLE,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Jump Shot,21,111,179,36.1,71.1,MISS Jack 21' Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:11:42,00:00:18,00:00:01,3,UTA,rebound,,,,,,,,,,Trey Burke,,,,,,rebound defensive,,,,,,Burke REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:11:23,00:00:37,00:00:19,4,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,14,138,15,11.2,6.5,MISS Favors 14' Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,0,00:11:22,00:00:38,00:00:01,5,CLE,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:11:12,00:00:48,00:00:10,6,CLE,shot,Kyrie Irving,,,,,,,,,Spencer Hawes,2,,,made,,Turnaround Jump Shot,7,-5,74,24.5,81.6,Hawes 7' Turnaround Jump Shot (2 PTS) (Irving 1 AST)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:58,00:01:02,00:00:14,7,CLE,foul,,,,,,,,Gordon Hayward,,Jarrett Jack,,,p.foul,,,p.foul,,,,,,Jack P.FOUL (P1.T1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:47,00:01:13,00:00:11,8,UTA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,22,124,184,12.6,23.4,MISS Williams 22' Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:46,00:01:14,00:00:01,9,CLE,rebound,,,,,,,,,,Spencer Hawes,,,,,,rebound defensive,,,,,,Hawes REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:35,00:01:25,00:00:11,10,CLE,turnover,,,,,,,,,,Tristan Thompson,,,lost ball ,,Gordon Hayward,lost ball ,,,,,,"Hayward STEAL (1 STL), Thompson Lost Ball Turnover (P1.T1)"
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:23,00:01:37,00:00:12,11,UTA,miss,,,,,,,,,,Trey Burke,0,,,missed,,Jump Shot,26,0,265,25.0,31.5,MISS Burke 27' 3PT Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:22,00:01:38,00:00:01,12,CLE,rebound,,,,,,,,,,Luol Deng,,,,,,rebound defensive,,,,,,Deng REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:12,00:01:48,00:00:10,13,UTA,foul,,,,,,,,Jarrett Jack,,Trey Burke,,,p.foul,,,p.foul,,,,,,Burke P.FOUL (P1.T1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,0,2,00:10:00,00:02:00,00:00:12,14,CLE,turnover,,,,,,,,,,Kyrie Irving,,,bad pass ,,Derrick Favors,bad pass ,,,,,,"Favors STEAL (1 STL), Irving Bad Pass Turnover (P1.T2)"
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,3,2,00:09:54,00:02:06,00:00:06,15,UTA,shot,Trey Burke,,,,,,,,,Gordon Hayward,3,,,made,,Jump Shot,25,144,200,10.6,25.0,Hayward 25' 3PT Jump Shot (3 PTS) (Burke 1 AST)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,3,2,00:09:34,00:02:26,00:00:20,16,CLE,turnover,,,,,,,,,,Kyrie Irving,,,bad pass ,,,bad pass ,,,,,,Irving Bad Pass Turnover (P2.T3)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,5,2,00:09:20,00:02:40,00:00:14,17,UTA,shot,,,,,,,,,,Marvin Williams,2,,,made,,Driving Finger Roll Layup,2,-16,9,26.6,5.9,Williams 2' Driving Finger Roll Layup (2 PTS)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,5,2,00:09:00,00:03:00,00:00:20,18,CLE,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,20,77,183,32.7,70.7,MISS Irving 20' Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,5,2,00:08:59,00:03:01,00:00:01,19,UTA,rebound,,,,,,,,,,Trey Burke,,,,,,rebound defensive,,,,,,Burke REBOUND (Off:0 Def:2)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:51,00:03:09,00:00:08,20,UTA,shot,,,,,,,,,,Trey Burke,2,,,made,,Driving Layup,2,-15,0,26.5,5.0,Burke 2' Driving Layup (2 PTS)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:35,00:03:25,00:00:16,21,CLE,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Step Back Jump Shot,7,17,66,26.7,82.4,MISS Jack 7' Step Back Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:35,00:03:25,00:00:00,22,CLE,rebound,,,,,,,,,,Spencer Hawes,,,,,,rebound offensive,,,,,,Hawes REBOUND (Off:1 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:35,00:03:25,00:00:00,23,CLE,miss,,,,Derrick Favors,,,,,,Spencer Hawes,0,,,missed,,Layup,2,1,17,25.1,87.3,"Favors BLOCK (1 BLK), MISS Hawes 2' Layup"
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:35,00:03:25,00:00:00,24,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CAVALIERS Rebound
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:31,00:03:29,00:00:04,26,CLE,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,16,155,-32,40.5,92.2,MISS Irving 16' Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,7,2,00:08:30,00:03:30,00:00:01,27,UTA,rebound,,,,,,,,,,Gordon Hayward,,,,,,rebound defensive,,,,,,Hayward REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:08:18,00:03:42,00:00:12,29,UTA,shot,Derrick Favors,,,,,,,,,Richard Jefferson,3,,,made,,Jump Shot,26,-111,235,36.1,28.5,Jefferson 26' 3PT Jump Shot (3 PTS) (Favors 1 AST)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:08:17,00:03:43,00:00:01,30,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,CAVALIERS Timeout: Regular (Full 1 Short 0)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:08:17,00:03:43,00:00:00,32,,unknown,,,,,,,,,,Eric Piatkowski,,,,,,unknown,,,,,,
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:07:56,00:04:04,00:00:21,35,CLE,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Jump Shot,26,138,222,38.8,66.8,MISS Jack 26' 3PT Jump Shot
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:07:55,00:04:05,00:00:01,36,UTA,rebound,,,,,,,,,,Richard Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:07:41,00:04:19,00:00:14,37,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Reverse Layup,2,9,12,24.1,6.2,MISS Favors 2' Reverse Layup
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:07:40,00:04:20,00:00:01,38,CLE,rebound,,,,,,,,,,Spencer Hawes,,,,,,rebound defensive,,,,,,Hawes REBOUND (Off:1 Def:2)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,2,00:07:29,00:04:31,00:00:11,39,UTA,foul,,,,,,,,Spencer Hawes,,Richard Jefferson,,,p.foul,,,p.foul,,,,,,Jefferson P.FOUL (P1.T2)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,4,00:07:20,00:04:40,00:00:09,40,CLE,shot,Kyrie Irving,,,,,,,,,Spencer Hawes,2,,,made,,Jump Shot,17,72,159,32.2,73.1,Hawes 17' Jump Shot (4 PTS) (Irving 2 AST)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,4,00:07:06,00:04:54,00:00:14,41,UTA,turnover,,,,,,,,,,Gordon Hayward,,,bad pass ,,,bad pass ,,,,,,Hayward Bad Pass Turnover (P1.T1)
"=""0021300867""",2013-2014 Regular Season,2014-02-28,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,Luol Deng,Tristan Thompson,Spencer Hawes,Kyrie Irving,Jarrett Jack,1,10,4,00:06:54,00:05:06,00:00:12,42,CLE,miss,,,,Gordon Hayward,,,,,,Tristan Thompson,0,,,missed,,Layup,1,7,4,25.7,88.6,"Hayward BLOCK (1 BLK), MISS Thompson 1' Layup"
