game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,1,SAC,jump ball,,Nikola Pekovic,Jason Thompson,,,,,,,Jason Thompson,,Isaiah Thomas,,,,jump ball,,,,,,Jump Ball Thompson vs. Pekovic: Tip to Thomas
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,0,0,00:11:39,00:00:21,00:00:21,2,SAC,miss,,,,,,,,,,Jason Thompson,0,,,missed,,Jump Hook Shot,8,78,20,32.8,87.0,MISS Thompson 8' Jump Hook Shot
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,0,0,00:11:38,00:00:22,00:00:01,3,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,2,0,00:11:29,00:00:31,00:00:09,4,MIN,shot,Kevin Love,,,,,,,,,Ricky Rubio,2,,,made,,Driving Layup,2,-21,12,27.1,6.2,Rubio 2' Driving Layup (2 PTS) (Love 1 AST)
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,2,2,00:11:13,00:00:47,00:00:16,5,SAC,shot,Isaiah Thomas,,,,,,,,,DeMarcus Cousins,2,,,made,,Jump Shot,15,4,148,25.4,74.2,Cousins 15' Jump Shot (2 PTS) (Thomas 1 AST)
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,5,2,00:10:55,00:01:05,00:00:18,6,MIN,shot,Ricky Rubio,,,,,,,,,Kevin Love,3,,,made,,Jump Shot,25,-112,225,36.2,27.5,Love 25' 3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,5,2,00:10:38,00:01:22,00:00:17,7,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,15,0,154,25.0,73.6,MISS Cousins 15' Jump Shot
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,5,2,00:10:38,00:01:22,00:00:00,8,MIN,rebound,,,,,,,,,,Kevin Martin,,,,,,rebound defensive,,,,,,Martin REBOUND (Off:0 Def:1)
"=""0021300881""",2013-2014 Regular Season,2014-03-01,Corey Brewer,Kevin Love,Nikola Pekovic,Kevin Martin,Ricky Rubio,Rudy Gay,Jason Thompson,DeMarcus Cousins,Ben McLemore,Isaiah Thomas,1,5,2,00:10:34,00:01:26,00:00:04,9,MIN,turnover,,,,,,,,,,Kevin Martin,,,bad pass ,,Rudy Gay,bad pass ,,,,,,"Martin Bad Pass Turnover (P1.T1), Gay STEAL (1 STL)"
