game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Nikola Vucevic,Tim Duncan,,,,,,,Tim Duncan,,Danny Green,,,,jump ball,,,,,,Jump Ball Duncan vs. Vucevic: Tip to Green
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:40,00:00:20,00:00:20,2,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Shot,18,-119,134,13.1,75.6,MISS Duncan 18' Jump Shot
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:39,00:00:21,00:00:01,3,ORL,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound defensive,,,,,,Harkless REBOUND (Off:0 Def:1)
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:18,00:00:42,00:00:21,4,ORL,miss,,,,,,,,,,Maurice Harkless,0,,,missed,,Layup,2,18,-6,23.2,4.4,MISS Harkless 2' Layup
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:17,00:00:43,00:00:01,6,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound offensive,,,,,,Vucevic REBOUND (Off:1 Def:0)
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:17,00:00:43,00:00:00,5,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Putback Layup,2,-16,6,26.6,5.6,MISS Vucevic 2' Putback Layup
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:16,00:00:44,00:00:01,7,SAS,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound defensive,,,,,,Leonard REBOUND (Off:0 Def:1)
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:11:02,00:00:58,00:00:14,8,ORL,foul,,,,,,,,Tiago Splitter,,Kyle O'Quinn,,,s.foul,,,s.foul,,,,,,O'Quinn S.FOUL (P1.T1)
"=""0021300932""",2013-2014 Regular Season,2014-03-08,Maurice Harkless,Kyle O'Quinn,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,1,00:11:02,00:00:58,00:00:00,9,SAS,free throw,,,,,,,1,,2,Tiago Splitter,1,,,made,,Free Throw 1 of 2,,,,,,Splitter Free Throw 1 of 2 (1 PTS)
