game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,0,0,00:12:00,00:00:00,00:00:00,1,NYK,jump ball,,Zaza Pachulia,Tyson Chandler,,,,,,,Tyson Chandler,,Raymond Felton,,,,jump ball,,,,,,Jump Ball Chandler vs. Pachulia: Tip to Felton
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,0,2,00:11:38,00:00:22,00:00:22,2,NYK,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,Jump Shot,19,-163,99,8.7,79.1,Anthony 19' Jump Shot (2 PTS)
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:11:10,00:00:50,00:00:28,3,MIL,shot,Brandon Knight,,,,,,,,,Nate Wolters,3,,,made,,Jump Shot,23,-226,19,47.6,6.9,Wolters  3PT Jump Shot (3 PTS) (Knight 1 AST)
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:55,00:01:05,00:00:15,4,NYK,miss,,,,,,,,,,J.R. Smith,0,,,missed,,Floating Jump Shot,4,28,33,27.8,85.7,MISS Smith 4' Floating Jump Shot
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:54,00:01:06,00:00:01,5,NYK,rebound,,,,,,,,,,Tyson Chandler,,,,,,rebound offensive,,,,,,Chandler REBOUND (Off:1 Def:0)
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:40,00:01:20,00:00:14,6,NYK,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Jump Shot,25,-116,219,13.4,67.1,MISS Anthony 25' 3PT Jump Shot
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:39,00:01:21,00:00:01,7,MIL,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:1)
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:16,00:01:44,00:00:23,8,MIL,miss,,,,,,,,,,Brandon Knight,0,,,missed,,Jump Shot,16,21,156,22.9,20.6,MISS Knight 16' Jump Shot
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:15,00:01:45,00:00:01,9,NYK,rebound,,,,,,,,,,Tyson Chandler,,,,,,rebound defensive,,,,,,Chandler REBOUND (Off:1 Def:1)
"=""0021300981""",2013-2014 Regular Season,2014-03-15,Ersan Ilyasova,Khris Middleton,Zaza Pachulia,Brandon Knight,Nate Wolters,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,3,2,00:10:04,00:01:56,00:00:11,10,NYK,miss,,,,,,,,,,Amar'e Stoudemire,0,,,missed,,Slam Dunk,0,1,0,25.1,89.0,MISS Stoudemire  Slam Dunk
