game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,1,BOS,jump ball,,Chris Bosh,Brandon Bass,,,,,,,Brandon Bass,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Bass vs. Bosh: Tip to Rondo
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,0,0,00:11:46,00:00:14,00:00:14,2,BOS,miss,,,,Udonis Haslem,,,,,,Rajon Rondo,0,,,missed,,Layup,1,0,9,25.0,88.1,"Haslem BLOCK (1 BLK), MISS Rondo 1' Layup"
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,0,0,00:11:45,00:00:15,00:00:01,3,BOS,rebound,,,,,,,,,,Kris Humphries,,,,,,rebound offensive,,,,,,Humphries REBOUND (Off:1 Def:0)
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,0,2,00:11:39,00:00:21,00:00:06,4,BOS,shot,Rajon Rondo,,,,,,,,,Avery Bradley,2,,,made,,Jump Shot,21,127,173,37.7,71.7,Bradley 21' Jump Shot (2 PTS) (Rondo 1 AST)
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,2,2,00:11:15,00:00:45,00:00:24,5,MIA,shot,Michael Beasley,,,,,,,,,Udonis Haslem,2,,,made,,Dunk,0,-4,3,25.4,5.3,Haslem 1' Dunk (2 PTS) (Beasley 1 AST)
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,2,2,00:10:56,00:01:04,00:00:19,6,BOS,miss,,,,,,,,,,Jeff Green,0,,,missed,,Jump Shot,26,166,195,41.6,69.5,MISS Green 26' 3PT Jump Shot
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,2,2,00:10:55,00:01:05,00:00:01,7,MIA,rebound,,,,,,,,,,Chris Bosh,,,,,,rebound defensive,,,,,,Bosh REBOUND (Off:0 Def:1)
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,2,2,00:10:44,00:01:16,00:00:11,8,MIA,turnover,,,,,,,,,,Michael Beasley,,,traveling ,,,traveling ,,,,,,Beasley Traveling Turnover (P1.T1)
"=""0021301009""",2013-2014 Regular Season,2014-03-19,Michael Beasley,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Jeff Green,Brandon Bass,Kris Humphries,Avery Bradley,Rajon Rondo,1,2,2,00:10:33,00:01:27,00:00:11,9,BOS,turnover,,,,,,,,,,Rajon Rondo,,,traveling ,,,traveling ,,,,,,Rondo Traveling Turnover (P1.T1)
