game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,1,GSW,jump ball,,Tiago Splitter,Andrew Bogut,,,,,,,Andrew Bogut,,Stephen Curry,,,,jump ball,,,,,,Jump Ball Bogut vs. Splitter: Tip to Curry
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:43,00:00:17,00:00:17,2,GSW,turnover,,,,,,,,,,David Lee,,,lost ball ,,Boris Diaw,lost ball ,,,,,,"Diaw STEAL (1 STL), Lee Lost Ball Turnover (P1.T1)"
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:36,00:00:24,00:00:07,3,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,Running Layup,2,-10,12,26.0,6.2,Parker 2' Running Layup (2 PTS)
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:16,00:00:44,00:00:20,4,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,17,-105,138,14.5,75.2,MISS Thompson 17' Jump Shot
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:15,00:00:45,00:00:01,6,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound offensive,,,,,,Bogut REBOUND (Off:1 Def:0)
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:15,00:00:45,00:00:00,5,GSW,miss,,,,,,,,,,Andrew Bogut,0,,,missed,,Tip Shot,1,-5,1,24.5,88.9,MISS Bogut 1' Tip Shot
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:13,00:00:47,00:00:02,7,SAS,rebound,,,,,,,,,,Tiago Splitter,,,,,,rebound defensive,,,,,,Splitter REBOUND (Off:0 Def:1)
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,4,0,00:11:03,00:00:57,00:00:10,8,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,Pullup Jump Shot,19,-187,7,43.7,5.7,Parker 19' Pullup Jump Shot (4 PTS)
"=""0021301038""",2013-2014 Regular Season,2014-03-22,Kawhi Leonard,Boris Diaw,Tiago Splitter,Danny Green,Tony Parker,Harrison Barnes,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,1,4,2,00:10:52,00:01:08,00:00:11,9,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,Running Bank Shot,12,97,67,34.7,82.3,Curry 12' Running Bank Shot (2 PTS)
