game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,3,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Zaza Pachulia,DeAndre Jordan,,,,,,,DeAndre Jordan,,Chris Paul,,,,jump ball,,,,,,Jump Ball Jordan vs. Pachulia: Tip to Paul
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:11:38,00:00:22,00:00:22,5,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Jump Shot,22,-106,189,14.4,70.1,MISS Griffin 22' Jump Shot
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:11:36,00:00:24,00:00:02,6,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Bucks Rebound
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:11:13,00:00:47,00:00:23,7,MIL,miss,,,,,,,,,,Jeff Adrien,0,,,missed,,Hook Shot,6,-51,33,30.1,8.3,MISS Adrien 6' Hook Shot
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:11:11,00:00:49,00:00:02,8,LAC,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,0,00:11:00,00:01:00,00:00:11,9,MIL,foul,,,,,,,,Darren Collison,,Khris Middleton,,,p.foul,,,p.foul,,,,,,Middleton P.FOUL (P1.T1)
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,2,00:10:55,00:01:05,00:00:05,11,LAC,shot,Blake Griffin,,,,,,,,,Matt Barnes,2,,,made,,Driving Layup,1,1,-5,25.1,89.5,Barnes 1' Driving Layup (2 PTS) (Griffin 1 AST)
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,2,00:10:45,00:01:15,00:00:10,13,MIL,turnover,,,,,,,,,,Jeff Adrien,,,poss lost ball,,Blake Griffin,poss lost ball,,,,,,"Adrien Poss Lost Ball Turnover (P1.T1), Griffin STEAL (1 STL)"
"=""0021301056""",2013-2014 Regular Season,2014-03-24,Khris Middleton,Jeff Adrien,Zaza Pachulia,Ramon Sessions,Brandon Knight,Matt Barnes,Blake Griffin,DeAndre Jordan,Darren Collison,Chris Paul,1,0,4,00:10:41,00:01:19,00:00:04,14,LAC,shot,Blake Griffin,,,,,,,,,Chris Paul,2,,,made,,Driving Layup,0,2,1,25.2,88.9,Paul  Driving Layup (2 PTS) (Griffin 2 AST)
