game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,1,MIA,jump ball,,Jonas Valanciunas,Chris Bosh,,,,,,,Chris Bosh,,Udonis Haslem,,,,jump ball,,,,,,Jump Ball Bosh vs. Valanciunas: Tip to Haslem
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,0,0,00:11:35,00:00:25,00:00:25,2,MIA,miss,,,,,,,,,,Udonis Haslem,0,,,missed,,Jump Shot,18,179,-11,42.9,90.1,MISS Haslem 18' Jump Shot
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,0,0,00:11:33,00:00:27,00:00:02,3,TOR,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:11:15,00:00:45,00:00:18,4,TOR,shot,Kyle Lowry,,,,,,,,,Jonas Valanciunas,2,,,made,,Jump Shot,3,-15,31,26.5,8.1,Valanciunas 3' Jump Shot (2 PTS) (Lowry 1 AST)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:58,00:01:02,00:00:17,5,MIA,miss,,,,,,,,,,Udonis Haslem,0,,,missed,,Jump Shot,12,89,85,33.9,80.5,MISS Haslem 12' Jump Shot
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:56,00:01:04,00:00:02,6,TOR,rebound,,,,,,,,,,Terrence Ross,,,,,,rebound defensive,,,,,,Ross REBOUND (Off:0 Def:1)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:44,00:01:16,00:00:12,7,TOR,foul,,,,,,,,Udonis Haslem,,Jonas Valanciunas,,,offensive charge foul,,,offensive charge foul,,,,,,Valanciunas Offensive Charge Foul (P1.T1)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:44,00:01:16,00:00:00,8,TOR,turnover,,,,,,,,,,Jonas Valanciunas,,,foul turnover,,,foul turnover,,,,,,Valanciunas Foul Turnover (P1.T1)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:31,00:01:29,00:00:13,9,MIA,miss,,,,,,,,,,Chris Bosh,0,,,missed,,Jump Shot,26,177,192,42.7,69.8,MISS Bosh 26' 3PT Jump Shot
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:29,00:01:31,00:00:02,10,TOR,rebound,,,,,,,,,,Terrence Ross,,,,,,rebound defensive,,,,,,Ross REBOUND (Off:0 Def:2)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,2,0,00:10:18,00:01:42,00:00:11,11,MIA,foul,,,,,,,,Kyle Lowry,,Toney Douglas,,,s.foul,,,s.foul,,,,,,Douglas S.FOUL (P1.T1)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,3,0,00:10:18,00:01:42,00:00:00,12,TOR,free throw,,,,,,,1,,2,Kyle Lowry,1,,,made,,Free Throw 1 of 2,,,,,,Lowry Free Throw 1 of 2 (1 PTS)
"=""0021301105""",2013-2014 Regular Season,2014-03-31,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,LeBron James,Udonis Haslem,Chris Bosh,Toney Douglas,Mario Chalmers,1,4,0,00:10:18,00:01:42,00:00:00,14,TOR,free throw,,,,,,,2,,2,Kyle Lowry,1,,,made,,Free Throw 2 of 2,,,,,,Lowry Free Throw 2 of 2 (2 PTS)
