game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Marc Gasol,Gorgui Dieng,,,,,,,Gorgui Dieng,,Mike Conley,,,,jump ball,,,,,,Jump Ball Dieng vs. Gasol: Tip to Conley
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,0,00:11:38,00:00:22,00:00:22,2,MEM,miss,,,,,,,,,,Tayshaun Prince,0,,,missed,,Jump Shot,21,84,189,16.6,23.9,MISS Prince 21' Jump Shot
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,0,00:11:37,00:00:23,00:00:01,3,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:11:22,00:00:38,00:00:15,4,MIN,shot,Corey Brewer,,,,,,,,,Gorgui Dieng,2,,,made,,Layup,1,13,7,26.3,88.3,Dieng 1' Layup (2 PTS) (Brewer 1 AST)
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:11:03,00:00:57,00:00:19,5,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,24,230,52,2.0,10.2,MISS Conley 24' 3PT Jump Shot
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:11:02,00:00:58,00:00:01,6,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Grizzlies Rebound
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:10:50,00:01:10,00:00:12,7,MIN,violation,,,,,,,,,,Gorgui Dieng,,,,,,violation:kicked ball,,,,,,Dieng Violation:Kicked Ball
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:10:43,00:01:17,00:00:07,8,MEM,miss,,,,,,,,,,Tayshaun Prince,0,,,missed,,Jump Shot,20,-172,101,42.2,15.1,MISS Prince 20' Jump Shot
"=""0021301122""",2013-2014 Regular Season,2014-04-02,Tayshaun Prince,Zach Randolph,Marc Gasol,Courtney Lee,Mike Conley,Corey Brewer,Kevin Love,Gorgui Dieng,Kevin Martin,Ricky Rubio,1,0,2,00:10:42,00:01:18,00:00:01,9,MIN,rebound,,,,,,,,,,Gorgui Dieng,,,,,,rebound defensive,,,,,,Dieng REBOUND (Off:0 Def:1)
