game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,1,BOS,jump ball,,Henry Sims,Brandon Bass,,,,,,,Brandon Bass,,Kris Humphries,,,,jump ball,,,,,,Jump Ball Bass vs. Sims: Tip to Humphries
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:11:47,00:00:13,00:00:13,2,BOS,miss,,,,,,,,,,Rajon Rondo,0,,,missed,,Layup,3,28,6,27.8,88.4,MISS Rondo 3' Layup
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:11:46,00:00:14,00:00:01,3,BOS,rebound,,,,,,,,,,Kris Humphries,,,,,,rebound offensive,,,,,,Humphries REBOUND (Off:1 Def:0)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:11:45,00:00:15,00:00:01,4,BOS,miss,,,,,,,,,,Kris Humphries,0,,,missed,,Layup,2,3,17,25.3,87.3,MISS Humphries 2' Layup
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:11:44,00:00:16,00:00:01,5,PHI,rebound,,,,,,,,,,Hollis Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,0,0,00:11:41,00:00:19,00:00:03,6,BOS,foul,,,,,,,,Henry Sims,,Jeff Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P1.T1)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,1,0,00:11:41,00:00:19,00:00:00,7,PHI,free throw,,,,,,,1,,2,Henry Sims,1,,,made,,Free Throw 1 of 2,,,,,,Sims Free Throw 1 of 2 (1 PTS)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,2,0,00:11:41,00:00:19,00:00:00,9,PHI,free throw,,,,,,,2,,2,Henry Sims,1,,,made,,Free Throw 2 of 2,,,,,,Sims Free Throw 2 of 2 (2 PTS)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,2,0,00:11:25,00:00:35,00:00:16,11,BOS,turnover,,,,,,,,,,Jeff Green,,,lost ball ,,Hollis Thompson,lost ball ,,,,,,"Thompson STEAL (1 STL), Green Lost Ball Turnover (P1.T1)"
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:11:20,00:00:40,00:00:05,12,PHI,shot,James Anderson,,,,,,,,,Michael Carter-Williams,2,,,made,,Driving Dunk,0,2,1,24.8,5.1,Carter-Williams  Driving Dunk (2 PTS) (Anderson 1 AST)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:11:09,00:00:51,00:00:11,13,BOS,miss,,,,,,,,,,Kris Humphries,0,,,missed,,Layup,3,23,15,27.3,87.5,MISS Humphries 3' Layup
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:11:08,00:00:52,00:00:01,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ers Rebound
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:10:53,00:01:07,00:00:15,15,PHI,miss,,,,Kris Humphries,,,,,,Hollis Thompson,0,,,missed,,Dunk,2,24,4,22.6,5.4,"MISS Thompson 2' Dunk, Humphries BLOCK (1 BLK)"
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:10:52,00:01:08,00:00:01,16,PHI,rebound,,,,,,,,,,Henry Sims,,,,,,rebound offensive,,,,,,Sims REBOUND (Off:1 Def:0)
"=""0021301133""",2013-2014 Regular Season,2014-04-04,Thaddeus Young,Hollis Thompson,Henry Sims,Michael Carter-Williams,James Anderson,Jeff Green,Brandon Bass,Kris Humphries,Jerryd Bayless,Rajon Rondo,1,4,0,00:10:51,00:01:09,00:00:01,17,PHI,miss,,,,,,,,,,Henry Sims,0,,,missed,,Layup,2,15,7,23.5,5.7,MISS Sims 2' Layup
