game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,1,SAC,jump ball,,DeMarcus Cousins,Jermaine O'Neal,,,,,,,Jermaine O'Neal,,Ray McCallum,,,,jump ball,,,,,,Jump Ball O'Neal vs. Cousins: Tip to McCallum
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:11:41,00:00:19,00:00:19,2,SAC,shot,Ray McCallum,,,,,,,,,DeMarcus Cousins,2,,,made,,Fadeaway Jumper,15,-153,17,40.3,6.7,Cousins 15' Fadeaway Jumper (2 PTS) (McCallum 1 AST)
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:11:28,00:00:32,00:00:13,3,SAC,foul,,,,,,,,Draymond Green,,DeMarcus Cousins,,,p.foul,,,p.foul,,,,,,Cousins P.FOUL (P1.T1)
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:11:21,00:00:39,00:00:07,4,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,15,122,80,37.2,81.0,MISS Thompson 15' Pullup Jump Shot
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:11:19,00:00:41,00:00:02,5,SAC,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:10:58,00:01:02,00:00:21,6,SAC,miss,,,,,,,,,,Ben McLemore,0,,,missed,,Pullup Jump Shot,23,154,173,9.6,22.3,MISS McLemore 23' Pullup Jump Shot
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,0,00:10:56,00:01:04,00:00:02,7,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,2,00:10:49,00:01:11,00:00:07,8,GSW,shot,,,,,,,,,,Klay Thompson,2,,,made,,Driving Layup,2,-15,6,23.5,88.4,Thompson 2' Driving Layup (2 PTS)
"=""0021301141""",2013-2014 Regular Season,2014-04-04,Rudy Gay,Reggie Evans,DeMarcus Cousins,Ben McLemore,Ray McCallum,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,1,2,2,00:10:27,00:01:33,00:00:22,9,SAC,turnover,,,,,,,,,,Ray McCallum,,,bad pass ,,,bad pass ,,,,,,McCallum Bad Pass Turnover (P1.T1)
