game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,1,SAC,jump ball,,Jason Thompson,Robin Lopez,,,,,,,Robin Lopez,,Ben McLemore,,,,jump ball,,,,,,Jump Ball Lopez vs. Thompson: Tip to McLemore
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:43,00:00:17,00:00:17,2,POR,foul,,,,,,,,,,LaMarcus Aldridge,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,TRAIL BLAZERS T.Foul (Def. 3 Sec Aldridge )
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:43,00:00:17,00:00:00,3,SAC,free throw,,,,,,,1,,1,Ben McLemore,0,,,missed,,Free Throw Technical,,,,,,MISS McLemore Free Throw Technical
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:43,00:00:17,00:00:00,4,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:35,00:00:25,00:00:08,5,SAC,miss,,,,,,,,,,Jason Thompson,0,,,missed,,Jump Shot,11,81,67,16.9,11.7,MISS Thompson 11' Jump Shot
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:34,00:00:26,00:00:01,6,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:21,00:00:39,00:00:13,7,POR,shot,Damian Lillard,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,19,-191,26,5.9,86.4,Aldridge 19' Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:07,00:00:53,00:00:14,8,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,17,45,165,20.5,21.5,MISS Cousins 17' Jump Shot
"=""0021301172""",2013-2014 Regular Season,2014-04-09,Travis Outlaw,Jason Thompson,DeMarcus Cousins,Ben McLemore,Ray McCallum,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:06,00:00:54,00:00:01,9,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
