game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,0,0,00:12:00,00:00:00,00:00:00,1,CHI,jump ball,,Joakim Noah,Tyson Chandler,,,,,,,Tyson Chandler,,Carlos Boozer,,,,jump ball,,,,,,Jump Ball Chandler vs. Noah: Tip to Boozer
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,2,0,00:11:44,00:00:16,00:00:16,2,CHI,shot,Kirk Hinrich,,,,,,,,,Carlos Boozer,2,,,made,,Jump Shot,7,-49,53,29.9,10.3,Boozer 7' Jump Shot (2 PTS) (Hinrich 1 AST)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,2,2,00:11:21,00:00:39,00:00:23,3,NYK,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,Jump Shot,15,-139,55,11.1,83.5,Anthony 15' Jump Shot (2 PTS)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,4,2,00:11:06,00:00:54,00:00:15,4,CHI,shot,Carlos Boozer,,,,,,,,,Mike Dunleavy,2,,,made,,Driving Hook Shot,3,-23,14,27.3,6.4,Dunleavy 3' Driving Hook Shot (2 PTS) (Boozer 1 AST)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,4,2,00:10:50,00:01:10,00:00:16,5,NYK,miss,,,,,,,,,,J.R. Smith,0,,,missed,,Jump Shot,12,56,102,30.6,78.8,MISS Smith 12' Jump Shot
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,4,2,00:10:48,00:01:12,00:00:02,6,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,rebound defensive,,,,,,Hinrich REBOUND (Off:0 Def:1)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,6,2,00:10:30,00:01:30,00:00:18,7,CHI,shot,,,,,,,,,,Mike Dunleavy,2,,,made,,Driving Layup,1,-8,7,25.8,5.7,Dunleavy 1' Driving Layup (4 PTS)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,6,4,00:10:12,00:01:48,00:00:18,8,NYK,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,Jump Shot,18,170,53,42.0,83.7,Anthony 18' Jump Shot (4 PTS)
"=""0021301197""",2013-2014 Regular Season,2014-04-13,Carlos Boozer,Mike Dunleavy,Joakim Noah,Jimmy Butler,Kirk Hinrich,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Raymond Felton,J.R. Smith,1,8,4,00:09:56,00:02:04,00:00:16,9,CHI,shot,Joakim Noah,,,,,,,,,Carlos Boozer,2,,,made,,Layup,2,18,1,23.2,5.1,Boozer 2' Layup (4 PTS) (Noah 1 AST)
