game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,1,TOR,jump ball,,Jonas Valanciunas,Kevin Garnett,,,,,,,Kevin Garnett,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Garnett vs. Valanciunas: Tip to Lowry
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,2,0,00:11:40,00:00:20,00:00:20,2,TOR,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Floating Jump Shot,9,-2,91,25.2,14.1,DeRozan 9' Floating Jump Shot (2 PTS)
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,2,2,00:11:23,00:00:37,00:00:17,3,BKN,shot,Deron Williams,,,,,,,,,Kevin Garnett,2,,,made,,Layup,3,23,12,27.3,87.8,Garnett 3' Layup (2 PTS) (D. Williams 1 AST)
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,2,2,00:10:58,00:01:02,00:00:25,4,TOR,miss,,,,,,,,,,Terrence Ross,0,,,missed,,Jump Shot,18,122,137,12.8,18.7,MISS Ross 18' Jump Shot
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,2,2,00:10:57,00:01:03,00:00:01,5,TOR,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound offensive,,,,,,Valanciunas REBOUND (Off:1 Def:0)
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,4,2,00:10:56,00:01:04,00:00:01,6,TOR,shot,,,,,,,,,,Jonas Valanciunas,2,,,made,,Tip Shot,1,-13,1,26.3,5.1,Valanciunas 1' Tip Shot (2 PTS)
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,4,4,00:10:39,00:01:21,00:00:17,7,BKN,shot,Shaun Livingston,,,,,,,,,Joe Johnson,2,,,made,,Jump Shot,11,0,107,25.0,78.3,Johnson 11' Jump Shot (2 PTS) (Livingston 1 AST)
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,4,4,00:10:24,00:01:36,00:00:15,8,TOR,miss,,,,,,,,,,Amir Johnson,0,,,missed,,Jump Shot,25,65,238,18.5,28.8,MISS Johnson 25' 3PT Jump Shot
"=""0041300123""",2014 Playoff,2014-04-25,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Joe Johnson,Paul Pierce,Kevin Garnett,Shaun Livingston,Deron Williams,1,4,4,00:10:23,00:01:37,00:00:01,9,BKN,rebound,,,,,,,,,,Kevin Garnett,,,,,,rebound defensive,,,,,,Garnett REBOUND (Off:0 Def:1)
