game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,1,WAS,jump ball,,Roy Hibbert,Marcin Gortat,,,,,,,Marcin Gortat,,Nene,,,,jump ball,,,,,,Jump Ball Gortat vs. Hibbert: Tip to Nene
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:40,00:00:20,00:00:20,2,WAS,turnover,,,,,,,,,,Bradley Beal,,,bad pass ,,Lance Stephenson,bad pass ,,,,,,"Stephenson STEAL (1 STL), Beal Bad Pass Turnover (P1.T1)"
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:27,00:00:33,00:00:13,3,IND,turnover,,,,,,,,,,Lance Stephenson,,,bad pass ,,Bradley Beal,bad pass ,,,,,,"Stephenson Bad Pass Turnover (P1.T1), Beal STEAL (1 STL)"
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:14,00:00:46,00:00:13,4,WAS,miss,,,,,,,,,,Nene,0,,,missed,,Layup,1,7,3,25.7,88.7,MISS Nene 1' Layup
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:13,00:00:47,00:00:01,5,IND,rebound,,,,,,,,,,Lance Stephenson,,,,,,rebound defensive,,,,,,Stephenson REBOUND (Off:0 Def:1)
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,2,0,00:10:53,00:01:07,00:00:20,6,IND,shot,David West,,,,,,,,,Paul George,2,,,made,,Jump Shot,16,39,159,21.1,20.9,George 16' Jump Shot (2 PTS) (West 1 AST)
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,2,0,00:10:34,00:01:26,00:00:19,7,WAS,miss,,,,,,,,,,John Wall,0,,,missed,,Jump Shot,19,163,89,41.3,80.1,MISS Wall 19' Jump Shot
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,2,0,00:10:33,00:01:27,00:00:01,8,IND,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0041300204""",2014 Playoff,2014-05-11,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,Trevor Ariza,Nene,Marcin Gortat,Bradley Beal,John Wall,1,4,0,00:10:22,00:01:38,00:00:11,9,IND,shot,David West,,,,,,,,,Roy Hibbert,2,,,made,,Hook Shot,8,-5,80,25.5,13.0,Hibbert 8' Hook Shot (2 PTS) (West 2 AST)
