game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Tim Duncan,Robin Lopez,,,,,,,Robin Lopez,,Tony Parker,,,,jump ball,,,,,,Jump Ball Lopez vs. Duncan: Tip to Parker
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:42,00:00:18,00:00:18,2,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Shot,15,0,149,25.0,19.9,MISS Duncan 15' Jump Shot
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,0,00:11:42,00:00:18,00:00:00,3,POR,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:33,00:00:27,00:00:09,4,POR,shot,,,,,,,,,,Damian Lillard,2,,,made,,Pullup Jump Shot,19,48,187,29.8,70.3,Lillard 19' Pullup Jump Shot (2 PTS)
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:12,00:00:48,00:00:21,5,SAS,miss,,,,,,,,,,Kawhi Leonard,0,,,missed,,Running Jump Shot,9,6,91,24.4,14.1,MISS Leonard 9' Running Jump Shot
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,0,2,00:11:11,00:00:49,00:00:01,6,SAS,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound offensive,,,,,,Leonard REBOUND (Off:1 Def:0)
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,2,2,00:11:10,00:00:50,00:00:01,7,SAS,shot,,,,,,,,,,Kawhi Leonard,2,,,made,,Putback Layup,2,-15,6,26.5,5.6,Leonard 2' Putback Layup (2 PTS)
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,2,5,00:10:52,00:01:08,00:00:18,8,POR,shot,Nicolas Batum,,,,,,,,,Wesley Matthews,3,,,made,,Jump Shot,24,-90,227,16.0,66.3,Matthews 24' 3PT Jump Shot (3 PTS) (Batum 1 AST)
"=""0041300224""",2014 Playoff,2014-05-12,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,Nicolas Batum,LaMarcus Aldridge,Robin Lopez,Wesley Matthews,Damian Lillard,1,2,5,00:10:30,00:01:30,00:00:22,10,SAS,turnover,,,,,,,,,,Tony Parker,,,bad pass ,,Wesley Matthews,bad pass ,,,,,,"Parker Bad Pass Turnover (P1.T1), Matthews STEAL (1 STL)"
